"Map ID","Name","Address","Category","Estimated walking time","Approximate miles","Budget","Suggested visit","Description","Planning notes","Source","Walking directions","Latitude","Longitude","Coordinate source"
"11","82 Queen","82 Queen Street, Charleston SC","Dining","10–14 min","0.5","$$$","75–110 min","Lowcountry dishes and a courtyard setting; especially useful for she-crab soup and shrimp-and-grits seekers.","Reserve. Lunch weekdays, brunch weekends and dinner daily are currently advertised.","https://www.charlestoncvb.com/plan-your-trip/dining-nightlife~124/southern~1102/82-queen~5485.html","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=82%20Queen%2C%2082%20Queen%20Street%2C%20Charleston%20SC&travelmode=walking","32.777889854025","-79.932446295843","US Census address interpolation"
"12","Slightly North of Broad","192 East Bay Street, Charleston SC","Dining","12–17 min","0.62","$$$","75–110 min","An established Lowcountry bistro on East Bay. Works well after the French Quarter or before an evening waterfront walk.","Reserve for dinner; lunch offers a convenient way to fit it into sightseeing.","https://snobcharleston.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Slightly%20North%20of%20Broad%2C%20192%20East%20Bay%20Street%2C%20Charleston%20SC&travelmode=walking","32.779839339649","-79.92700394377","US Census address interpolation"
"13","Fleet Landing","186 Concord Street, Charleston SC","Dining","13–19 min","0.69","$$–$$$","60–100 min","Seafood with a harborfront setting. Prioritize this when you want water views with your meal.","Book ahead; outdoor seating and a specific view should not be assumed from a standard reservation.","https://fleetlanding.net/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Fleet%20Landing%2C%20186%20Concord%20Street%2C%20Charleston%20SC&travelmode=walking","32.780151502933","-79.925654735574","US Census address interpolation"
"14","Halls Chophouse","434 King Street, Charleston SC","Dining","10–15 min","0.52","$$$$","90–150 min","Steakhouse dinner or a substantial Sunday brunch. This is one of the higher-cost meal options near your base.","Reserve well ahead; business-casual attire is recommended. Published Sunday brunch 10–2.","https://hallschophousecharleston.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Halls%20Chophouse%2C%20434%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.788458061971","-79.937977475778","US Census address interpolation"
"15","The Ordinary","544 King Street, Charleston SC","Dining","16–22 min","0.81","$$$–$$$$","90–120 min","Seafood and oysters in a former bank building on Upper King; combine with a northbound shopping walk.","Dinner from 4, Wednesday–Monday. Reservations open 28 days ahead at noon per the venue; bar and patio also take walk-ins.","https://eattheordinary.com/reservations/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=The%20Ordinary%2C%20544%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.792173292256","-79.9405714605","US Census address interpolation"
"16","The Darling Oyster Bar","513 King Street, Charleston SC","Dining","13–18 min","0.67","$$$","60–100 min","Oysters and seafood on Upper King; an option before Music Farm or after browsing the northern end of King Street.","Published Monday–Saturday from 4pm; Sunday from 11am. Reserve a dining table when offered.","https://thedarling.com/contact-us-charleston/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=The%20Darling%20Oyster%20Bar%2C%20513%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.790335117626","-79.939426783336","US Census address interpolation"
"17","Indaco","526 King Street, Charleston SC","Dining","15–20 min","0.76","$$$","75–120 min","Italian cooking, pasta and wood-fired pizza; useful when the group wants an alternative to Southern food.","Reserve dinner, particularly Friday or Saturday.","https://www.indacorestaurant.com/location/indaco-charleston/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Indaco%2C%20526%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.791470271011","-79.940059707928","US Census address interpolation"
"18","O-Ku","463 King Street, Charleston SC","Dining","11–16 min","0.57","$$$","75–120 min","Sushi and Japanese-inspired dishes close to Upper King nightlife.","Reserve a table and check the current menu; special rolls and prices change.","https://www.o-kusushi.com/location/o-ku-charleston/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=O-Ku%2C%20463%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.789051874271","-79.938544954217","US Census address interpolation"
"19","Stella's","114 Saint Philip Street, Charleston SC","Dining","11–16 min","0.57","$$–$$$","75–110 min","Greek cooking and shareable plates a short detour west of King Street.","Reserve dinner; particularly useful for a group that enjoys sharing several dishes.","https://stellascharleston.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Stella's%2C%20114%20Saint%20Philip%20Street%2C%20Charleston%20SC&travelmode=walking","32.787678788405","-79.939212367223","US Census address interpolation"
"20","Chez Nous","6 Payne Court, Charleston SC","Dining","20–27 min","1.03","$$$","90–120 min","An intimate restaurant with a very small daily-changing European menu, tucked into a residential court.","Check the day's menu before committing if anyone has strong dietary preferences. Published Tuesday–Sunday lunch and dinner.","https://www.cheznouschs.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Chez%20Nous%2C%206%20Payne%20Court%2C%20Charleston%20SC&travelmode=walking","32.791818728462","-79.943097524967","US Census address interpolation"
"21","Chubby Fish","252 Coming Street, Charleston SC","Dining","22–29 min","1.11","$$$–$$$$","90–120 min plus wait","Creative seafood in Elliotborough. A destination dinner that requires planning around its queue, not just its walking time.","No advance reservations for normal dining; published Tuesday–Saturday from 5. Closed Sunday, so not a Nov. 1 option.","https://www.chubbyfishcharleston.com/events","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Chubby%20Fish%2C%20252%20Coming%20Street%2C%20Charleston%20SC&travelmode=walking","32.793090418217","-79.944285569784","US Census address interpolation"
"22","Xiao Bao Biscuit","224 Rutledge Avenue, Charleston SC","Dining","24–32 min","1.24","$$","45–90 min","Asian-inspired shared dishes in a converted service station; a worthwhile longer walk for a change of pace.","Generally walk-in; published Monday–Saturday 11–10, closed Sunday. Read group-booking rules for a large party.","https://www.xiaobaobiscuit.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Xiao%20Bao%20Biscuit%2C%20224%20Rutledge%20Avenue%2C%20Charleston%20SC&travelmode=walking","32.790298885969","-79.947264588552","US Census address interpolation"
"23","Leon's Oyster Shop","698 King Street, Charleston SC","Dining","27–35 min","1.36","$$–$$$","60–100 min","Fried chicken, oysters and a relaxed setting at the far end of a longer Upper King outing.","Published daily 11am–10pm. Reservations currently offered for groups of 6–12; smaller groups generally use walk-in seating. Longer-walk option.","https://leonsoystershop.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Leon's%20Oyster%20Shop%2C%20698%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.798345937414","-79.946131487367","US Census address interpolation"
"24","Caviar & Bananas","51 George Street, Charleston SC","Coffee & treats","4–8 min","0.23","$–$$","20–50 min","A nearby café for coffee, breakfast, sandwiches and provisions. Particularly practical on arrival and departure days.","Published kitchen closes 3:30; espresso and ice cream continue to 6. Weekdays start 7, weekends 8.","https://www.caviarandbananas.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Caviar%20%26%20Bananas%2C%2051%20George%20Street%2C%20Charleston%20SC&travelmode=walking","32.783762291834","-79.935971545398","US Census address interpolation"
"25","The Rise Coffee Bar","75 Wentworth Street, Charleston SC","Coffee & treats","2–6 min","0.14","$","15–35 min","Coffee and pastries at The Restoration, very close to your home base.","Published daily 7–5. A convenient quick breakfast when you have a timed museum or tour ticket.","https://therestorationhotel.com/charleston-community-outlets/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=The%20Rise%20Coffee%20Bar%2C%2075%20Wentworth%20Street%2C%20Charleston%20SC&travelmode=walking","32.782352406674","-79.93405781352","US Census address interpolation"
"26","Kudu Coffee & Craft Beer","4 Vanderhorst Street, Charleston SC","Coffee & treats","8–13 min","0.43","$–$$","20–60 min","Coffee, pastries and a courtyard, with craft beer later in the day. A natural stop near Marion Square.","The venue intentionally does not offer Wi-Fi; treat it as a place to relax rather than a work stop.","https://kuducoffeecharleston.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Kudu%20Coffee%20%26%20Craft%20Beer%2C%204%20Vanderhorst%20Street%2C%20Charleston%20SC&travelmode=walking","32.787268367179","-79.937390225714","US Census address interpolation"
"27","Harken Café & Bakery","62 Queen Street, Charleston SC","Coffee & treats","10–14 min","0.5","$–$$","30–60 min","Scratch-baked pastries, coffee, breakfast and lunch in the French Quarter area.","Published weekday 7–3, Saturday 8–3, Sunday 8–1. Sunday closes early, which matters on Nov. 1.","https://www.harkencafe.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Harken%20Caf%C3%A9%20%26%20Bakery%2C%2062%20Queen%20Street%2C%20Charleston%20SC&travelmode=walking","32.778157020202","-79.93084629437","US Census address interpolation"
"28","Callie's Hot Little Biscuit — King Street","476 King Street, Charleston SC","Coffee & treats","12–17 min","0.63","$–$$","20–45 min plus wait","Biscuit breakfast or a snack while heading up King Street. This listing is for the King Street shop, whose storefront is numbered 476½.","Expect a small space and possible breakfast lines. Confirm current hours; do not confuse it with the City Market location.","https://calliesbiscuits.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Callie's%20Hot%20Little%20Biscuit%20%E2%80%94%20King%20Street%2C%20476%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.789904114385","-79.938971307796","US Census address interpolation"
"29","Millers All Day","120 King Street, Charleston SC","Coffee & treats","9–14 min","0.48","$$","45–90 min","Breakfast and brunch with a retro interior; works well before a South of Broad walk.","Despite the name, published downtown closing is 3 weekdays and 4 weekends. Opens 8; allow for a weekend wait.","https://millersallday.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Millers%20All%20Day%2C%20120%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.777708434006","-79.932814946303","US Census address interpolation"
"30","Carmella's Café & Dessert Bar","198 East Bay Street, Charleston SC","Coffee & treats","12–17 min","0.6","$–$$","20–50 min","Desserts, gelato, coffee and drinks, conveniently placed for an evening waterfront loop.","The Charleston page advertises daily 8am–midnight; verify late hours for your date.","https://carmellasdessertbar.com/charleston","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Carmella's%20Caf%C3%A9%20%26%20Dessert%20Bar%2C%20198%20East%20Bay%20Street%2C%20Charleston%20SC&travelmode=walking","32.780161578098","-79.927049535976","US Census address interpolation"
"31","Off Track Ice Cream","6 Beaufain Street, Charleston SC","Coffee & treats","4–8 min","0.23","$","15–30 min","An ice-cream break just off King Street; easy to combine with shopping or Le Farfalle.","Published Sun–Thu noon–10pm, Fri–Sat noon–11pm. Check the current dairy-free flavors directly.","https://offtrackicecream.com/contact-us/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Off%20Track%20Ice%20Cream%2C%206%20Beaufain%20Street%2C%20Charleston%20SC&travelmode=walking","32.781425790353","-79.933647335675","US Census address interpolation"
"32","Bitty & Beau's Coffee","159 Church Street, Charleston SC","Coffee & treats","9–14 min","0.47","$","15–35 min","Coffee near the City Market, from a company known for employing people with intellectual and developmental disabilities.","Published daily 9–5; a useful mid-walk stop rather than an early breakfast.","https://www.bittyandbeauscoffee.com/location/charleston/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Bitty%20%26%20Beau's%20Coffee%2C%20159%20Church%20Street%2C%20Charleston%20SC&travelmode=walking","32.779830874102","-79.929546224352","US Census address interpolation"
"33","La Pâtisserie at Hotel Bennett","404 King Street, Charleston SC","Coffee & treats","8–12 min","0.42","$–$$","20–45 min","French-style pastries and coffee at the north edge of Marion Square.","Published daily 7–8. Combine with the Saturday farmers market or Blue Bicycle Books.","https://www.hotelbennett.com/dining-and-lounges/overview","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=La%20P%C3%A2tisserie%20at%20Hotel%20Bennett%2C%20404%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.78723213351","-79.937130552222","US Census address interpolation"
"34","The Watch Rooftop","75 Wentworth Street, Charleston SC","Bars & rooftops","2–6 min","0.14","$$–$$$","45–90 min","One of the closest rooftop dining and drink options, above The Restoration.","Book for a meal; check weather and current service hours. Use the hotel entrance and ask for rooftop access.","https://thewatchcharleston.com/contact-us/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=The%20Watch%20Rooftop%2C%2075%20Wentworth%20Street%2C%20Charleston%20SC&travelmode=walking","32.782352406674","-79.93405781352","US Census address interpolation"
"35","Citrus Club","334 Meeting Street, Charleston SC","Bars & rooftops","6–11 min","0.34","$$$","45–90 min","Rooftop drinks and broad city views at The Dewberry, convenient after Marion Square.","21+. The hotel currently offers lunch reservations; other seating is first-come, first-served. Sunset is a popular time.","https://thedewberrycharleston.com/faqs/reservations-2/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Citrus%20Club%2C%20334%20Meeting%20Street%2C%20Charleston%20SC&travelmode=walking","32.787458124439","-79.934688521451","US Census address interpolation"
"36","The Living Room at The Dewberry","334 Meeting Street, Charleston SC","Bars & rooftops","6–11 min","0.34","$$$","45–90 min","An indoor hotel lounge suited to a quieter drink, especially when rooftop weather is poor.","Check current public service hours and seating availability at the hotel.","https://thedewberrycharleston.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=The%20Living%20Room%20at%20The%20Dewberry%2C%20334%20Meeting%20Street%2C%20Charleston%20SC&travelmode=walking","32.787458124439","-79.934688521451","US Census address interpolation"
"37","Camellias","404 King Street, Charleston SC","Bars & rooftops","8–12 min","0.42","$$$–$$$$","60–120 min","Hotel Bennett's pink Champagne lounge, also offering a more formal afternoon tea experience.","Tea requires a reservation; standard bar service does not. Current tea calendar includes your Thursday–Sunday dates, subject to availability.","https://www.hotelbennett.com/activities/event-calendar/afternoon-tea-at-camellias","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Camellias%2C%20404%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.78723213351","-79.937130552222","US Census address interpolation"
"38","Fiat Lux","404 King Street, Charleston SC","Bars & rooftops","8–12 min","0.42","$$$","45–90 min","Hotel Bennett rooftop with city views and food. An alternative when you want a rooftop near Upper King.","Check weather and seating. Rooftop bar access does not imply access to the hotel's swimming pool.","https://www.hotelbennett.com/dining-and-lounges/overview","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Fiat%20Lux%2C%20404%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.78723213351","-79.937130552222","US Census address interpolation"
"39","The Rooftop at The Vendue","19 Vendue Range, Charleston SC","Bars & rooftops","15–20 min","0.75","$$–$$$","45–90 min","Rooftop drinks close to Waterfront Park; an easy final stop on a French Quarter evening.","Confirm access, age policy and current hours; an outdoor table depends on weather and capacity.","https://www.thevendue.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=The%20Rooftop%20at%20The%20Vendue%2C%2019%20Vendue%20Range%2C%20Charleston%20SC&travelmode=walking","32.778800492977","-79.926060404319","US Census address interpolation"
"40","The Gin Joint","182 East Bay Street, Charleston SC","Bars & rooftops","13–18 min","0.65","$$","45–90 min","A cocktail-focused stop near the waterfront and French Quarter restaurants.","Allow for a wait in a small venue; check current booking/seating details.","https://www.theginjoint.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=The%20Gin%20Joint%2C%20182%20East%20Bay%20Street%2C%20Charleston%20SC&travelmode=walking","32.77938947376","-79.926953408211","US Census address interpolation"
"41","Proof","437 King Street, Charleston SC","Bars & rooftops","10–14 min","0.5","$$","45–90 min","A compact cocktail bar on Upper King, near Halls and Blue Bicycle Books.","Evening option; verify hours and allow flexibility around busy Friday/Saturday service.","https://proofcharleston.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Proof%2C%20437%20King%20Street%2C%20Charleston%20SC&travelmode=walking","32.788301007132","-79.938024991664","US Census address interpolation"
"42","Blind Tiger Pub","36 Broad Street, Charleston SC","Bars & rooftops","14–20 min","0.72","$$","45–90 min","A pub and courtyard option on Broad Street, useful for a casual break on the way to or from the Battery.","Check food-service hours separately from bar closing time.","https://blindtigerchs.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Blind%20Tiger%20Pub%2C%2036%20Broad%20Street%2C%20Charleston%20SC&travelmode=walking","32.776739014034","-79.92867326229","US Census address interpolation"
"43","Charleston City Market","188 Meeting Street, Charleston SC","Sights & museums","5–9 min","0.29","Free to browse","45–90 min","Historic market sheds with crafts, gifts and sweetgrass baskets. Walk the length toward East Bay, rather than stopping at the first building.","Day market opens 9:30; the site gives conflicting 5/5:30 closing times, so plan before 5. Friday/Saturday night market is separately advertised.","https://www.thecharlestoncitymarket.com/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Charleston%20City%20Market%2C%20188%20Meeting%20Street%2C%20Charleston%20SC&travelmode=walking","32.78076511819","-79.931470649072","US Census address interpolation"
"44","Marion Square / Saturday farmers market","329 Meeting Street, Charleston SC","Parks & walks","5–9 min","0.27","Free to browse","20–30 min; market 60–90","A central green space and the Saturday farmers market location. Especially useful for a relaxed breakfast-and-browsing morning.","The published 2026 season covers Saturday Oct. 31, 8am–2pm. Check for weather or event changes that week.","https://www.charleston-sc.gov/3305/Farmers-Market","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Marion%20Square%20%2F%20Saturday%20farmers%20market%2C%20329%20Meeting%20Street%2C%20Charleston%20SC&travelmode=walking","32.786513272048","-79.934221535899","US Census address interpolation"
"45","College of Charleston — Cistern Yard","66 George Street, Charleston SC","Parks & walks","5–9 min","0.27","Free exterior","20–40 min","An attractive oak-shaded campus space with historic architecture, very close to Society Street.","Use public paths and respect classes or reserved events. Indoor buildings are not assumed open for tourism.","https://calendar.charleston.edu/cistern-yard","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=College%20of%20Charleston%20%E2%80%94%20Cistern%20Yard%2C%2066%20George%20Street%2C%20Charleston%20SC&travelmode=walking","32.783534499828","-79.93668974925","US Census address interpolation"
"46","Kahal Kadosh Beth Elohim","90 Hasell Street, Charleston SC","Sights & museums","4–8 min","0.23","Tour admission","45–60 min","Historic synagogue and an opportunity to learn about Charleston's Jewish community.","Consult the congregation's current tour schedule and visitor/security arrangements; worship times are not sightseeing slots.","https://www.kkbe.org/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Kahal%20Kadosh%20Beth%20Elohim%2C%2090%20Hasell%20Street%2C%20Charleston%20SC&travelmode=walking","32.78196882019","-79.933082513438","US Census address interpolation"
"47","Gibbes Museum of Art","135 Meeting Street, Charleston SC","Sights & museums","8–13 min","0.43","Ticketed","90–120 min","American art with strong Charleston and Southern connections. A particularly useful indoor choice on a rainy day.","Check exhibition dates, admission and gallery hours directly; allow extra time if you enjoy art.","https://www.gibbesmuseum.org/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Gibbes%20Museum%20of%20Art%2C%20135%20Meeting%20Street%2C%20Charleston%20SC&travelmode=walking","32.778720811355","-79.931355382164","US Census address interpolation"
"48","The Charleston Museum","360 Meeting Street, Charleston SC","Sights & museums","11–16 min","0.57","Ticketed","90–150 min","A broad introduction to local history, natural history and material culture; a good orientation museum for a first visit.","Compare combination tickets if you also want Joseph Manigault or Heyward-Washington House.","https://www.charlestonmuseum.org/","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=The%20Charleston%20Museum%2C%20360%20Meeting%20Street%2C%20Charleston%20SC&travelmode=walking","32.790176686478","-79.936473035085","US Census address interpolation"
"49","Joseph Manigault House","350 Meeting Street, Charleston SC","Sights & museums","9–14 min","0.48","Ticketed","45–60 min","A historic house visit that explores a wealthy rice-planting family's home and the enslaved people who lived and worked there.","Pair with The Charleston Museum across the street; verify guided-tour departure times.","https://www.charlestonmuseum.org/joseph-manigault-house","https://www.google.com/maps/dir/?api=1&origin=80%20Society%20Street%2C%20Charleston%2C%20SC%2029401&destination=Joseph%20Manigault%20House%2C%20350%20Meeting%20Street%2C%20Charleston%20SC&travelmode=walking","32.789075975731","-79.935749459353","US Census address interpolation"
